ImageCaptionDataset,COCO_VAL
ImageMCQDataset,MicroVQA
ImageMCQDataset,MMSIBench_circular
ImageMCQDataset,SpatialEval
ImageMCQDataset,StaticEmbodiedBench
ImageMCQDataset,StaticEmbodiedBench_circular
ImageMCQDataset,MMMB_ar
ImageMCQDataset,MMMB_cn
ImageMCQDataset,MMMB_en
ImageMCQDataset,MMMB_pt
ImageMCQDataset,MMMB_ru
ImageMCQDataset,MMMB_tr
ImageMCQDataset,MMBench_dev_ar
ImageMCQDataset,MMBench_dev_cn
ImageMCQDataset,MMBench_dev_en
ImageMCQDataset,MMBench_dev_pt
ImageMCQDataset,MMBench_dev_tr
ImageMCQDataset,MMBench_dev_ru
ImageVQADataset,OCRVQA_TEST
ImageVQADataset,OCRVQA_TESTCORE
ImageVQADataset,TextVQA_VAL
ImageVQADataset,DocVQA_VAL
ImageVQADataset,DocVQA_TEST
ImageVQADataset,InfoVQA_VAL
ImageVQADataset,InfoVQA_TEST
ImageVQADataset,ChartQA_TEST
ImageVQADataset,GQA_TestDev_Balanced
MathVision,MathVision
MathVision,MathVision_MINI
MMMUDataset,MMMU_DEV_VAL
MMMUDataset,MMMU_TEST
OCRBench,OCRBench
OCRBench,OCRBench_MINI
MathVista,MathVista_MINI
LLaVABench,LLaVABench
LLaVABench_KO,LLaVABench_KO
VGRPBench,VGRPBench
MMVet,MMVet
MMVet,MMVet_Hard
MTVQADataset,MTVQA_TEST
TableVQABench,TableVQABench
MMLongBench,MMLongBench_DOC
VCRDataset,VCR_EN_EASY_500
VCRDataset,VCR_EN_EASY_100
VCRDataset,VCR_EN_EASY_ALL
VCRDataset,VCR_EN_HARD_500
VCRDataset,VCR_EN_HARD_100
VCRDataset,VCR_EN_HARD_ALL
VCRDataset,VCR_ZH_EASY_500
VCRDataset,VCR_ZH_EASY_100
VCRDataset,VCR_ZH_EASY_ALL
VCRDataset,VCR_ZH_HARD_500
VCRDataset,VCR_ZH_HARD_100
VCRDataset,VCR_ZH_HARD_ALL
MMDUDataset,MMDU
DUDE,DUDE
DUDE,DUDE_MINI
SlideVQA,SLIDEVQA_MINI
SlideVQA,SLIDEVQA
MUIRDataset,MUIRBench
CCOCRDataset,CCOCR_DocParsing_DocPhotoChn
CCOCRDataset,CCOCR_DocParsing_DocPhotoEng
CCOCRDataset,CCOCR_DocParsing_DocScanChn
CCOCRDataset,CCOCR_DocParsing_DocScanEng
CCOCRDataset,CCOCR_DocParsing_TablePhotoChn
CCOCRDataset,CCOCR_DocParsing_TablePhotoEng
CCOCRDataset,CCOCR_DocParsing_TableScanChn
CCOCRDataset,CCOCR_DocParsing_TableScanEng
CCOCRDataset,CCOCR_DocParsing_MolecularHandwriting
CCOCRDataset,CCOCR_DocParsing_FormulaHandwriting
CCOCRDataset,CCOCR_Kie_Sroie2019Word
CCOCRDataset,CCOCR_Kie_Cord
CCOCRDataset,CCOCR_Kie_EphoieScut
CCOCRDataset,CCOCR_Kie_Poie
CCOCRDataset,CCOCR_Kie_ColdSibr
CCOCRDataset,CCOCR_Kie_ColdCell
CCOCRDataset,CCOCR_MultiLanOcr_Arabic
CCOCRDataset,CCOCR_MultiLanOcr_French
CCOCRDataset,CCOCR_MultiLanOcr_German
CCOCRDataset,CCOCR_MultiLanOcr_Italian
CCOCRDataset,CCOCR_MultiLanOcr_Japanese
CCOCRDataset,CCOCR_MultiLanOcr_Korean
CCOCRDataset,CCOCR_MultiLanOcr_Portuguese
CCOCRDataset,CCOCR_MultiLanOcr_Russian
CCOCRDataset,CCOCR_MultiLanOcr_Spanish
CCOCRDataset,CCOCR_MultiLanOcr_Vietnamese
CCOCRDataset,CCOCR_MultiSceneOcr_Cord
CCOCRDataset,CCOCR_MultiSceneOcr_Funsd
CCOCRDataset,CCOCR_MultiSceneOcr_Iam
CCOCRDataset,CCOCR_MultiSceneOcr_ZhDoc
CCOCRDataset,CCOCR_MultiSceneOcr_ZhHandwriting
CCOCRDataset,CCOCR_MultiSceneOcr_Hieragent
CCOCRDataset,CCOCR_MultiSceneOcr_Ic15
CCOCRDataset,CCOCR_MultiSceneOcr_Inversetext
CCOCRDataset,CCOCR_MultiSceneOcr_Totaltext
CCOCRDataset,CCOCR_MultiSceneOcr_ZhScene
CCOCRDataset,CCOCR_MultiSceneOcr_UgcLaion
CCOCRDataset,CCOCR_MultiSceneOcr_ZhDense
CCOCRDataset,CCOCR_MultiSceneOcr_ZhVertical
CCOCRDataset,CCOCR
GMAIMMBenchDataset,GMAI-MMBench_VAL
GMAIMMBenchDataset,GMAI-MMBench_TEST
MMERealWorld,MME-RealWorld
MMERealWorld,MME-RealWorld-CN
MMERealWorld,MME-RealWorld-Lite
HRBenchDataset,HRBench4K
HRBenchDataset,HRBench8K
CRPE,CRPE_EXIST
CRPE,CRPE_RELATION
MathVerse,MathVerse_MINI
MathVerse,MathVerse_MINI_Vision_Only
MathVerse,MathVerse_MINI_Vision_Only_cot
MathVerse,MathVerse_MINI_Vision_Dominant
MathVerse,MathVerse_MINI_Vision_Intensive
MathVerse,MathVerse_MINI_Text_Lite
MathVerse,MathVerse_MINI_Text_Dominant
NaturalBenchDataset,NaturalBenchDataset
MIABench,MIA-Bench
OlympiadBench,OlympiadBench
OlympiadBench,OlympiadBench_EN
OlympiadBench,OlympiadBench_CN
SeePhys,SeePhys
SeePhys,SeePhys_vo
WildVision,WildVision
MMMath,MM-Math
QSpatial,QSpatial_plus
QSpatial,QSpatial_scannet
Dynamath,DynaMath
Dynamath,DynaMath_noprompt
GSM8KVDataset,GSM8K-V
MMGenBench,MMGenBench-Test
MMGenBench,MMGenBench-Domain
VizWiz,VizWiz
MMNIAH,MM_NIAH_VAL
MMNIAH,MM_NIAH_TEST
CMMMU,CMMMU_VAL
VLRewardBench,VL-RewardBench
WeMath,WeMath
WeMath,WeMath_COT
LogicVista,LogicVista
MMMUProDataset,MMMU_Pro_10c
MMMUProDataset,MMMU_Pro_10c_COT
MMMUProDataset,MMMU_Pro_V
MMMUProDataset,MMMU_Pro_V_COT
CreationMMBenchDataset,LiveMMBench_Creation
CreationMMBenchDataset,Creation_MMBench
ImageShortQADataset,LiveMMBench_Infographic
ImageShortQADataset,LiveMMBench_Perception
ImageShortQADataset,LiveMMBench_Reasoning
ImageShortQADataset,LiveMMBench_Reasoning_circular
ImageShortQADataset,hle
MMAlignBench,MMAlignBench
OmniDocBench,OmniDocBench
VLM2Bench,VLM2Bench
VMCBenchDataset,VMCBench_DEV
VMCBenchDataset,VMCBench_TEST
EMMADataset,EMMA
EMMADataset,EMMA_COT
MME_CoT,MME_CoT_TEST
MOAT,MOAT
MedXpertQA_MM_test,MedXpertQA_MM_test
LEGO,LEGO
LEGO,LEGO_circular
MMSci_Captioning,MMSci_DEV_Captioning_image_only
MMSci_Captioning,MMSci_DEV_Captioning_with_abs
Physics_yale,atomic_dataset
Physics_yale,electro_dataset
Physics_yale,mechanics_dataset
Physics_yale,optics_dataset
Physics_yale,quantum_dataset
Physics_yale,statistics_dataset
Physics_yale,Physics_blankim
Physics_yale,Physics
ScreenSpot_Pro,ScreenSpot_Pro_Development
ScreenSpot_Pro,ScreenSpot_Pro_Creative
ScreenSpot_Pro,ScreenSpot_Pro_CAD
ScreenSpot_Pro,ScreenSpot_Pro_Scientific
ScreenSpot_Pro,ScreenSpot_Pro_Office
ScreenSpot_Pro,ScreenSpot_Pro_OS
ScreenSpot,ScreenSpot_Mobile
ScreenSpot,ScreenSpot_Desktop
ScreenSpot,ScreenSpot_Web
ScreenSpot,ScreenSpot_v2_Mobile
ScreenSpot,ScreenSpot_v2_Desktop
ScreenSpot,ScreenSpot_v2_Web
ScreenSpotV2,ScreenSpot_v2_Mobile
ScreenSpotV2,ScreenSpot_v2_Desktop
ScreenSpotV2,ScreenSpot_v2_Web
MMIFEval,MM-IFEval
Spatial457,Spatial457
VisuLogic,VisuLogic
CVBench,CV-Bench-2D
CVBench,CV-Bench-3D
PathVQA_VAL,PathVQA_VAL
PathVQA_TEST,PathVQA_TEST
TDBench,tdbench_rot0
TDBench,tdbench_rot90
TDBench,tdbench_rot180
TDBench,tdbench_rot270
TDBench,tdbench_cs_zoom
TDBench,tdbench_cs_height
TDBench,tdbench_cs_integrity
TDBench,tdbench_cs_depth
TDBenchGrounding,tdbench_grounding_rot0
TDBenchGrounding,tdbench_grounding_rot90
TDBenchGrounding,tdbench_grounding_rot180
TDBenchGrounding,tdbench_grounding_rot270
MicroBench,MicroBench
CharXiv,CharXiv_descriptive_val
CharXiv,CharXiv_reasoning_val
OmniMedVQA,OmniMedVQA
WildDocBenchmark,WildDoc
MSEarthMCQ,MSEarthMCQ
OCR_Reasoning,OCR_Reasoning
PhyX,PhyX_MC
PhyX,PhyX_OE
PhyX,PhyX_mini_MC
PhyX,PhyX_mini_OE
VLMBlind,VLMBlind
CountBenchQA,CountBenchQA
ZEROBench,ZEROBench
ZEROBench,ZEROBench_sub
SCAM,SCAM
Omni3DBench,Omni3DBench
TallyQA,TallyQA
_3DSRBench,3DSRBench
BMMR,BMMR
BMMR,BMMR_mini
AffordanceDataset,A4Bench
MMEReasoning,MME-Reasoning
GOBenchDataset,GOBench
SFE,SFE
SFE,SFE-zh
ChartMimic,ChartMimic_v1_customized
ChartMimic,ChartMimic_v1_direct
ChartMimic,ChartMimic_v2_customized
ChartMimic,ChartMimic_v2_customized_600
ChartMimic,ChartMimic_v2_customized_1800
ChartMimic,ChartMimic_v2_direct
ChartMimic,ChartMimic_v2_direct_600
ChartMimic,ChartMimic_v2_direct_1800
MMVMBench,MMVMBench
XLRSBench,XLRS-Bench-lite
OmniEarthMCQBench,OmniEarth-Bench
VisFactor,VisFactor
VisFactor,VisFactor_CoT
VisFactor,VisFactor_GE
VisFactor,VisFactor_GE_CoT
VisFactor,VisFactor_GN
VisFactor,VisFactor_GN_CoT
VisFactor,VisFactor_GH
VisFactor,VisFactor_GH_CoT
OSTDataset,OST
OCRBench_v2,OCRBench_v2
TreeBench,TreeBench
CVQA,CVQA_LOC
CVQA,CVQA_EN
M4Bench,State_Invariance
M4Bench,State_Comparison
M4Bench,Spatial_Perception
M4Bench,Instance_Comparison
M4Bench,Detailed_Difference
AyaVisionBench,AyaVisionBench
TopViewRS,TopViewRS
VLMBias,VLMBias
MMHELIX,MM-HELIX
MMHELIX,MM-HELIX_lang
MedqbenchMCQDataset,MedqbenchMCQ
MedqbenchMCQDataset,MedqbenchMCQ_dev
MedqbenchMCQDataset,MedqbenchMCQ_test
MathCanvas,MathCanvas-Bench
MedqbenchPairedDescriptionDataset,MedqbenchPairedDescription_dev
MedqbenchPairedDescriptionDataset,MedqbenchPairedDescription_test
MedqbenchCaptionDataset,MedqbenchCaption
MedqbenchCaptionDataset,MedqbenchCaption_dev
MedqbenchCaptionDataset,MedqbenchCaption_test
ChartMuseum,ChartMuseum_dev
ChartMuseum,ChartMuseum_test
ChartQAPro,ChartQAPro
ChartQAPro,ChartQAPro_CoT
ChartQAPro,ChartQAPro_PoT
ReasonMap_Plus,ReasonMap-Plus
olmOCRBench,olmOCRBench
OceanOCRBench,OceanOCRBench
MATBench,MATBench
VLRMBench,VLRMBench
VLRMBench,VLRMBench_MultiSolution
VLRMBench,VLRMBench_Foresight
RefCOCODataset,RefCOCO
